rc_short,rc_long,prefix,name,city,country,region_continent,website,link
dub,route-collector.dub.pch.net, 193.242.111.0/25, INEX LAN1,Dublin,IE,Europe,https://www.inex.ie/,https://www.peeringdb.com/ix/48
dur,route-collector.dur.pch.net, 196.223.30.0/24, DINX,Durban,ZA,Africa,http://www.ispa.org.za/,https://www.peeringdb.com/ix/610
dxb,route-collector.dxb.pch.net, 185.1.8.0/24, UAE-IX,Dubai,AE,Middle East,http://www.uae-ix.net,https://www.peeringdb.com/ix/587
ecix-ber,route-collector.ecix-ber.pch.net, 194.9.117.0/24, ECIX-BER,Berlin,DE,Europe,https://www.ecix.net/,https://www.peeringdb.com/ix/209
ecix-dus,route-collector.ecix-dus.pch.net, 194.146.118.0/24, ECIX-DUS,Duesseldorf,DE,Europe,https://www.ecix.net/,https://www.peeringdb.com/ix/91
ecix-fra,route-collector.ecix-fra.pch.net, 62.69.146.0/23, ECIX-FRA,Frankfurt,DE,Europe,https://www.ecix.net,https://www.peeringdb.com/ix/676
ecix-ham,route-collector.ecix-ham.pch.net, 193.42.155.0/24, ECIX-HAM,Hamburg,DE,Europe,https://www.ecix.net/,https://www.peeringdb.com/ix/291
ecix-muc,route-collector.ecix-muc.pch.net, 194.59.190.0/24, INXS by ecix,Munich,DE,Europe,https://www.ecix.net,https://www.peeringdb.com/ix/73
edi,route-collector.edi.pch.net, 195.66.246.0/24, IXScotland,Scotland,GB,Europe,http://www.linx.net,https://www.peeringdb.com/ix/745
equinix-paris,route-collector.equinix-paris.pch.net, 195.42.144.0/23, Equinix Paris,Paris,FR,Europe,http://www.equinix-ix.fr/,https://www.peeringdb.com/ix/255
equinix-sg,route-collector.equinix-sg.pch.net, 27.111.228.0/22, Equinix Singapore,Singapore,SG,Asia Pacific,https://ix.equinix.com,https://www.peeringdb.com/ix/158
eze,route-collector.eze.pch.net, 200.0.17.0/24, CABASE-BUE,Buenos Aires,AR,South America,http://www.cabase.org.ar/,https://www.peeringdb.com/ix/181
fra,route-collector.fra.pch.net, 80.81.192.0/22, DE-CIX Frankfurt,Frankfurt,DE,Europe,https://www.de-cix.net/locations/germany/frankfurt,https://www.peeringdb.com/ix/31
hkg,route-collector.hkg.pch.net, 123.255.88.0/21, HKIX,Hong Kong,HK,Asia Pacific,http://www.hkix.net/,https://www.peeringdb.com/ix/42
iad,route-collector.iad.pch.net, 206.126.236.0/22, Equinix Ashburn,Ashburn,US,North America,https://ix.equinix.com,https://www.peeringdb.com/ix/1
jax,route-collector.jax.pch.net, 206.123.7.0/24, JXIX,Jacksonville,US,North America,http://jxix.org,https://www.peeringdb.com/ix/563
jnb,route-collector.jnb.pch.net, 196.223.14.0/24, JINX,Johannesburg,ZA,Africa,http://wiki.inx.net.za/,https://www.peeringdb.com/ix/129
